amc,curve_number,rainfall_mm,runoff_mm
I,60,50.0,0.0
I,70,50.0,0.00046320705395644916
I,80,50.0,2.6665628515603297
I,90,50.0,13.578999822883745
I,95,50.0,25.906772775975494
I,100,50.0,50.0
II,60,50.0,1.4034028277018933
II,70,50.0,5.812802953611627
II,80,50.0,13.802480158730157
II,90,50.0,27.107681839831255
II,95,50.0,36.90237873560072
II,100,50.0,50.0
III,60,50.0,11.711478240887278
III,70,50.0,19.00294375401444
III,80,50.0,27.717582595590024
III,90,50.0,37.97391306960433
III,95,50.0,43.74717824628173
III,100,50.0,50.0
